"relative_sales","product_category","market_research","advertising","customer_satisfaction","influencer","competitors","shipping_time"
8.2,"tools",18.5,13.7,4.5,"yes",4,2
8.9,"tools",17.4,22.4,4.8,"no",5,1
4,"tools",18.7,20.2,4,"no",3,2
17.5,"tools",11.4,20.1,4.7,"yes",5,4
10.7,"household_appliances",14.4,23.7,4,"no",2,2
4,"small_electronics",12.4,15.7,4,"no",5,3
7.4,"tools",9.9,15.1,3,"yes",4,3
19,"tools",12.1,27.2,4.2,"yes",5,3
16,"household_appliances",16.2,25.8,3.5,"yes",5,4
5.3,"household_appliances",15.8,18.1,4.4,"no",6,2
8.2,"household_appliances",12.9,18.1,3.5,"no",4,2
6.1,"household_appliances",18.6,26.3,3.8,"no",4,1
8.7,"small_electronics",18.8,12.3,4.5,"yes",4,2
3.2,"household_appliances",NA,19.8,4.2,"no",5,2
13.5,"household_appliances",12,22.6,4.4,"no",8,2
9.8,"household_appliances",14.5,19.2,4.5,"no",5,3
13.2,"household_appliances",12.1,28.7,4.3,"no",6,2
15,"household_appliances",18.7,24.4,3.9,"yes",6,1
9.7,"household_appliances",12.3,20.5,4.6,"no",6,2
6.7,"tools",14.1,22.1,3.9,"no",5,1
-1.8,"small_electronics",10.1,9.1,3.8,"no",2,2
16.1,"household_appliances",11.3,18.6,3.7,"yes",5,2
13.2,"tools",15,16.5,4.1,"yes",3,2
4.7,"personal_care",10.6,18.7,3.8,"no",7,2
5.2,"small_electronics",16.9,14.2,4.4,"yes",4,2
4.8,"personal_care",17.8,22.9,4.3,"no",6,1
5.1,"household_appliances",21.5,31.6,4.5,"no",6,2
14.7,"household_appliances",13.6,19.9,4.3,"yes",7,2
4.7,"household_appliances",NA,23,3.5,"no",5,1
0.8,"household_appliances",21,18.3,4.7,"no",4,2
14,"household_appliances",15.7,17.3,4.6,"yes",4,1
0.8,"tools",11.3,14.1,4.5,"no",5,2
-0.4,"tools",16.8,11.7,4.3,"no",7,2
0.8,"personal_care",11,12.9,4.9,"no",7,2
14.9,"tools",17,25,4.6,"yes",6,3
5.1,"tools",16.9,14.5,3.9,"no",5,2
11.4,"household_appliances",14.9,12.2,4.3,NA,4,1
7.5,"small_electronics",NA,17.1,4,"yes",8,2
2.4,"household_appliances",17.1,22.3,4.2,"no",4,2
12,"tools",12.4,14.3,4.6,NA,4,1
7.5,"household_appliances",11.9,18.1,3.7,"no",5,1
1.4,"household_appliances",18.9,19.7,4.4,"no",6,3
11.9,"tools",12.4,18.8,4.5,NA,4,2
17.9,"personal_care",11.4,22.4,4.8,"no",1,1
5.7,"household_appliances",19.1,27.3,3.7,"no",5,3
5.1,"household_appliances",8.6,20.6,4.5,"no",7,3
8.1,"tools",17.1,26.4,3.8,"no",8,3
11.9,"small_electronics",19.2,25.5,4.3,"yes",3,1
9.1,"tools",16,24.7,3.5,"no",9,2
3.9,"household_appliances",17.3,17.8,4.2,"no",8,3
7.8,"household_appliances",19.5,25.3,4.7,"no",4,1
10.9,"household_appliances",17.7,29.1,3.4,"no",8,1
14.2,"tools",12.7,19.2,4.8,"yes",3,3
1.4,"household_appliances",14.7,18.2,3.5,"no",5,2
2.3,"household_appliances",17,18,4.9,"no",8,1
7.7,"tools",14,19.1,4.1,"no",6,3
2.3,"small_electronics",11.3,13.5,4.6,"no",5,2
16.3,"tools",10.9,16.7,4.9,"yes",5,3
8.7,"household_appliances",17.7,18.2,4.6,"no",3,2
-6.3,"tools",21.5,12.2,4.6,"no",8,4
3.2,"household_appliances",13.1,14.5,5,"no",6,1
4.3,"small_electronics",21.7,32.6,4.7,"no",4,3
-1.1,"tools",20.1,25.3,4.1,"no",6,1
9.7,"personal_care",7,26.9,3.1,"yes",5,1
2,"tools",7,16.3,4.9,"no",4,2
7.6,"tools",11.5,21.5,4.9,"no",4,2
-1.3,"household_appliances",14.4,15.1,3.4,"no",7,3
6.3,"tools",12.2,19,4.4,"no",8,1
8,"tools",13.8,13.6,4.5,NA,6,2
16.3,"tools",10.7,23,4.6,"yes",5,2
8.1,"tools",10.5,19.2,4.6,"no",6,2
-1.4,"household_appliances",17.9,8.3,4.4,"no",6,2
14.3,"personal_care",14.9,22.5,4.1,"no",2,1
9.7,"small_electronics",15.9,17.3,3,"yes",5,1
11.8,"household_appliances",13.6,27.2,3.9,"no",5,2
4.5,"tools",13.6,17.1,4.4,"no",7,1
-8.4,"household_appliances",21.9,13.6,4.3,NA,5,2
-5.5,"tools",20.7,14.1,3.9,"no",4,1
2.2,"personal_care",15.7,12.9,4.1,"no",7,2
5.6,"household_appliances",NA,19.8,4.2,"no",5,4
-2.2,"household_appliances",8.7,24.3,3.5,"no",8,2
10.8,"tools",19.7,19.5,4.6,"yes",1,2
9.8,"household_appliances",16.2,17.1,4.4,NA,4,1
17,"tools",17.2,25.5,4.1,"yes",5,1
22.8,"tools",14,NA,5,"yes",4,1
11.8,"household_appliances",15.9,25.6,3,"yes",6,1
9.4,"household_appliances",18.5,23.7,4.1,"no",4,2
11.1,"tools",15.3,19.7,4.7,"no",3,3
14.1,"tools",12.6,17.2,4.3,"yes",6,1
-2.4,"household_appliances",22.5,24.5,4.7,"no",6,2
4.1,"small_electronics",14.6,14.6,4.2,"no",4,2
-3.9,"household_appliances",21.3,19.9,4.1,"no",3,2
1.9,"household_appliances",13.2,15.1,4.1,"no",4,2
2.7,"household_appliances",18.5,20.5,3.8,"no",5,2
5.7,"tools",13.1,12.8,4.8,"no",6,3
-10.1,"small_electronics",23,13.2,3.9,"no",3,3
20.3,"personal_care",NA,22.3,4.9,"yes",2,3
1.8,"small_electronics",15.6,14.4,3.8,NA,4,2
0,"personal_care",NA,20,4.9,"no",6,2
9.6,"small_electronics",13.2,13.6,4.8,"no",3,2
-0.3,"small_electronics",18.8,19.9,4.2,"no",6,2
7.3,"household_appliances",14.5,16.3,3.8,"no",5,3
3.2,"tools",15.6,NA,3.2,"no",2,1
8.1,"household_appliances",16.9,18.3,4.2,"no",3,2
-6.6,"tools",6.7,20.7,2.8,"no",8,2
-13.4,"tools",24.1,22.4,4.1,"no",5,2
9.2,"tools",16.1,19.2,4.5,"no",5,2
10,"tools",16.5,NA,4.3,"no",4,3
-4,"small_electronics",21,13.5,4.5,"no",7,3
14.6,"tools",15.4,20.2,4.5,"no",4,2
3.4,"tools",19.4,24.3,4.4,"no",6,3
-3.2,"personal_care",20.9,11.8,4.8,"no",5,2
16,"tools",10.9,16.9,3.9,"yes",5,3
7.3,"household_appliances",16.1,18.9,4.7,"no",5,2
4,"tools",17.2,NA,2.9,"no",7,2
10,"household_appliances",14.2,17,3.2,"yes",5,4
3.7,"household_appliances",14.2,19.3,4.2,"no",5,3
-2.2,"household_appliances",23,29.1,4.6,"no",2,2
4.7,"household_appliances",8.3,27.2,3.3,"no",3,2
-4.1,"tools",20.9,NA,4.3,"no",6,4
6.4,"household_appliances",19.4,24.3,4.3,"no",4,1
9.3,"small_electronics",9.3,24.3,4.8,"no",5,2
5.8,"tools",12.7,12.9,4.6,"no",7,3
3.6,"household_appliances",11.6,15.2,4.1,"no",5,2
10.6,"household_appliances",14.3,26.1,4.2,"no",7,2
4.8,"tools",13,14.5,3.8,NA,3,3
5.5,"household_appliances",16.1,19.4,4.5,"no",5,2
13.8,"household_appliances",13.3,17.6,4.5,"no",3,1
3.8,"tools",9.2,17.5,4.8,"no",4,2
4.2,"tools",NA,21.2,4.6,"no",6,3
-2.5,"household_appliances",7.2,12.3,4.9,"no",4,1
17.2,"tools",16.2,25.1,3.7,"yes",5,2
8.2,"small_electronics",11,15.9,4.6,"no",5,4
7.2,"small_electronics",16.1,24.3,4.1,"no",6,1
3.9,"household_appliances",17.4,20.8,4.3,"no",4,3
7.9,"tools",NA,23.1,4.9,"no",6,2
-2.8,"tools",20.8,24.9,4.2,"no",5,4
4.8,"small_electronics",16.5,12.1,4.6,"no",3,4
8.6,"tools",17.4,18.5,4.3,"no",7,2
8.1,"tools",16,26.1,4.6,"no",4,1
-0.3,"household_appliances",18.5,14.6,4.3,"no",6,2
7.3,"personal_care",NA,19.7,3.4,NA,3,3
1.4,"household_appliances",18.5,14.2,4.5,"no",5,2
-2,"tools",12.7,18.5,4,"no",7,3
13.8,"household_appliances",13.3,11.4,4,"yes",7,2
0.8,"household_appliances",7.1,16.5,4.7,NA,5,2
7.3,"small_electronics",11.5,17.5,3.9,"no",4,2
10.2,"small_electronics",16,20,4.7,"no",7,3
7.4,"tools",19,20.5,4.6,"no",5,2
5.7,"tools",14.2,NA,4.8,"no",4,4
9,"small_electronics",20.3,15,4.7,"yes",8,2
8.2,"household_appliances",15.1,19.7,4.3,"no",-999,2
2.4,"tools",9.5,21.3,4.3,"no",6,2
19.9,"small_electronics",15.9,31,4.3,"yes",6,4
3.6,"tools",NA,15.3,4,"no",2,2
7.3,"household_appliances",15.5,13.4,3.3,"yes",4,1
1.7,"household_appliances",16.3,19.2,3.2,"no",6,4
15.5,"household_appliances",12.7,24.3,4.4,"no",6,3
9.8,"household_appliances",15.4,22.8,4.4,"no",5,2
23.4,"household_appliances",12.9,27.7,4.5,"yes",5,2
6.2,"tools",14.8,20.2,4.9,"no",4,2
5.5,"household_appliances",6.9,17.4,4.9,"no",5,2
3.4,"tools",13.3,20.3,4.4,"no",7,4
2.3,"household_appliances",21,19.1,4.5,"no",6,2
14.5,"tools",11.3,14.3,4.3,"yes",2,2
5.8,"household_appliances",15.6,22.4,4.9,"no",5,3
-2.3,"small_electronics",NA,7.4,4.4,"no",4,1
1.5,"household_appliances",6.6,23.7,3.9,"no",6,2
9.8,"personal_care",17.8,29.9,4.4,"no",4,2
8.7,"tools",14.7,10.5,4.4,"no",5,2
20,"household_appliances",11.4,26.9,3.7,"yes",5,1
-0.4,"personal_care",11.5,5.4,4.8,NA,5,4
9.3,"small_electronics",8.4,31.5,4.7,"no",3,1
8.8,"tools",13.2,14.5,4.1,"yes",3,1
9.2,"tools",19.4,NA,4.2,"yes",4,1
5.4,"household_appliances",19.4,17.6,4.8,"yes",2,2
9,"tools",17.3,17.5,4.3,"no",3,1
-7.6,"tools",21.3,19.8,3.1,"no",4,3
11.1,"household_appliances",NA,19.6,4.7,"no",4,1
-2.6,"personal_care",21.5,19.3,4.3,"no",4,2
12.3,"household_appliances",12.3,14.9,4.8,"no",3,2
-1.7,"personal_care",NA,NA,4.4,NA,6,2
21.8,"household_appliances",14.2,28.7,4.7,"no",3,2
1.2,"small_electronics",18.1,21,4.2,"no",9,3
20,"personal_care",13.3,25.1,4.7,"yes",6,2
12,"tools",18.1,17.6,4.6,"yes",8,3
6.9,"tools",13.6,18.3,4.5,"no",5,3
-3.6,"tools",14.8,12.2,2.7,"no",4,2
-0.5,"personal_care",17.6,20.8,3.9,"no",6,1
18.3,"tools",17.6,22.9,5,"yes",3,2
5.5,"tools",17.5,24.1,3.7,"no",8,3
4.5,"personal_care",16.1,17.7,4.6,"no",5,3
2.3,"tools",19.6,24,3.1,NA,7,2
10.3,"tools",14,13,4.8,"no",3,3
1.6,"small_electronics",17.5,19.3,3.9,"no",5,3
7.9,"household_appliances",12.8,18.3,4.7,"no",6,4
6.5,"household_appliances",NA,12.3,4.6,"no",5,1
14.2,"small_electronics",12.6,18.7,3.7,"yes",3,1
19.6,"tools",13.4,17.7,4.8,"yes",7,1
19.9,"tools",12.1,29.5,3.9,NA,4,3
11.4,"household_appliances",15.1,26.1,4.9,"no",7,2
4.1,"household_appliances",13,18.6,3.7,"no",6,2
2.1,"tools",7.9,19.4,4.7,"no",5,4
14.9,"small_electronics",16.8,22.4,4.4,"yes",5,1
9.8,"small_electronics",11.4,14.8,4.4,"no",6,1
8.3,"tools",14.5,14.6,3.9,"yes",6,2
8.9,"tools",NA,21.8,4.6,"no",7,1
-13.7,"tools",22.9,16.5,3.9,"no",6,1
11.8,"tools",16.2,28.1,4.2,"no",7,1
11.6,"personal_care",NA,20.7,3.4,"no",6,3
-1.5,"tools",17.1,9.4,4.2,"no",3,2
12,"tools",18.7,25.6,3.7,"yes",5,3
5.4,"household_appliances",NA,25.7,2.9,"no",5,1
4.7,"personal_care",8.7,29.3,4,NA,4,3
3.4,"small_electronics",15.6,15.2,4.9,"no",2,2
10.7,"tools",19.7,23.7,4.7,"no",5,3
1.9,"household_appliances",13.4,20.2,4.2,"no",6,1
3.1,"household_appliances",17,14.6,4,"no",6,2
7.8,"tools",12.9,18.2,3.5,"no",3,3
13.3,"tools",12.6,30,3.9,"no",5,2
-3.7,"tools",7.7,25.4,3.6,"no",5,1
7.4,"household_appliances",17.4,25,4.1,"no",8,2
6.3,"tools",13.9,17.8,3.7,"no",0,1
6.3,"tools",10.7,14.8,3.8,"no",6,2
16.3,"household_appliances",16.1,20.4,5,"yes",4,2
1.6,"household_appliances",15.4,16.8,3.8,NA,5,2
7.3,"household_appliances",18.1,22.7,3.9,"no",5,3
9.3,"household_appliances",14.3,20,3.1,"no",6,1
15.3,"personal_care",12.6,27.7,4.7,"no",2,2
8.9,"household_appliances",9.9,13.4,4.4,"yes",4,2
12.4,"tools",16,19.5,3.5,"yes",6,3
16.1,"household_appliances",14.5,23.5,4.3,"no",3,3
7.2,"personal_care",NA,18.5,4.4,"no",9,3
28.1,"personal_care",14.9,28.1,4.8,"yes",1,1
2.4,"tools",14.6,18.9,4.5,"no",6,2
8.2,"personal_care",NA,15,4.5,"no",4,4
5.9,"small_electronics",13.7,17.8,4.1,"no",9,2
7.8,"household_appliances",17.6,25.1,4,NA,6,2
11.1,"tools",8.4,19.4,3.5,"yes",4,1
1.7,"tools",18.2,19.7,4.4,"no",7,1
16.6,"tools",13.9,27.8,4.5,"no",5,2
5.7,"tools",13.4,22.7,3.5,"no",6,2
8.1,"household_appliances",8.2,NA,4.5,"yes",5,2
-1.3,"small_electronics",5.8,14.7,3.1,"no",7,2
16,"tools",15.2,23.9,4.1,"no",4,2
7.8,"household_appliances",17.9,16.9,4,"no",4,3
7.5,"personal_care",NA,23.6,4.2,"no",7,2
6.1,"small_electronics",15.6,24.9,3.1,"no",4,3
3.4,"tools",16.3,17.4,4.5,"no",5,3
-36.9,"household_appliances",27.1,9.7,4.5,"no",5,1
8.9,"household_appliances",11.3,13.7,3.7,"no",4,3
9.6,"household_appliances",8.8,17.2,4,"yes",3,2
6.5,"household_appliances",16.2,17.1,4.5,"no",6,2
12,"personal_care",14.8,22.2,4,"no",7,2
14.1,"tools",14.8,18.7,4.7,"yes",4,2
0.1,"household_appliances",12.9,17,4.5,"no",6,3
16.4,"household_appliances",11.7,24.8,4.1,"yes",7,1
17.8,"tools",14.9,20.6,4.7,"yes",5,1
-3.4,"personal_care",17.5,12.5,4.3,"no",5,2
1.6,"small_electronics",16.5,15.7,4.6,"no",5,3
7.5,"household_appliances",22,22,4.1,"yes",7,3
1.4,"tools",12.5,NA,3.8,"no",4,3
11,"small_electronics",15.8,19.8,3.4,"no",7,1
1.7,"household_appliances",20,24.6,4.6,"no",4,2
12.9,"household_appliances",17.7,17.4,4.7,"yes",5,3
12.4,"household_appliances",14.9,17.5,4.5,"no",4,3
-6.9,"household_appliances",21.2,2.9,4.3,"yes",6,1
9.5,"tools",15.2,22.9,4.1,"no",8,2
17.6,"household_appliances",19,25.2,4.3,"yes",4,2
-1.3,"tools",3.6,25.2,3.4,"yes",5,1
8,"household_appliances",10.4,22.5,4.2,"no",5,3
12.1,"household_appliances",16.4,21.3,4.9,"no",6,2
15.3,"household_appliances",11.9,38.6,4,"no",5,1
-7.3,"tools",16.2,NA,3.4,"no",6,1
13.4,"household_appliances",13.9,28.4,4.7,"no",4,3
12.8,"household_appliances",12.7,22.5,4.1,"no",7,2
14.3,"personal_care",10.8,29,3.6,"no",4,1
9.4,"household_appliances",15.9,22.4,4.6,"no",3,2
8.2,"household_appliances",10,17.8,4,"no",8,2
1.9,"tools",11.1,16.7,4.8,"no",7,1
6.1,"small_electronics",14.5,13.7,4,"no",7,4
-5.8,"personal_care",5.7,17,3.6,"no",5,1
12.6,"tools",17.8,24.6,4.8,"no",9,2
10.5,"tools",13,22.3,3.5,"no",6,1
-9,"household_appliances",7.4,10.8,3.1,"no",5,1
9.3,"tools",13,21.3,4.3,"no",6,2
18.9,"tools",11.1,25.8,4.8,"yes",5,2
-14,"small_electronics",3.6,15,3.6,"no",7,2
-0.6,"tools",19.7,20.9,4.2,"no",3,2
5.7,"small_electronics",12.5,19.3,3.8,"no",4,3
12.3,"small_electronics",9.6,29.9,3.6,"no",3,2
12.1,"household_appliances",14.8,22.1,4.7,"yes",5,3
5.8,"tools",16.4,NA,4.9,"no",6,2
10.8,"personal_care",15.1,20.1,4,"yes",7,1
5.9,"tools",19.3,26.5,4.9,"no",6,2
2.8,"personal_care",10.8,12.8,3.5,"no",2,1
5.9,"household_appliances",15.6,21.4,4,"no",7,3
12,"household_appliances",15.3,13,4.2,"yes",5,2
2.9,"tools",15.6,15.8,3.6,"no",5,3
5.9,"small_electronics",10.6,16.2,3.2,"yes",5,3
11.6,"household_appliances",14.7,21.3,4.8,"no",3,3
-1.5,"household_appliances",15.8,15.3,3.7,"no",5,4
9.4,"tools",15.6,21,4.6,"no",5,2
10.6,"personal_care",15.9,28.1,3.3,"no",3,2
9.1,"personal_care",10.9,24.8,3.4,"no",5,2
4.9,"tools",10.9,17.8,4.3,"no",5,3
8.3,"household_appliances",15.2,22.3,4.1,"no",2,3
2.2,"tools",6.8,19.2,4.3,"no",5,3
3,"personal_care",7.6,20.1,4.2,"no",4,3
15.8,"tools",7.4,34.2,4.6,"no",4,3
9,"personal_care",15.5,18.8,4,"no",3,2
10.2,"small_electronics",18.1,17.3,3,"yes",4,1
-0.5,"tools",18.6,17.8,4.2,"no",3,3
10.9,"household_appliances",18.6,23.9,3.5,"yes",4,3
4.5,"tools",18.4,26.1,3.2,"no",8,1
5.9,"household_appliances",19.9,23.6,4.7,"no",6,1
0.9,"small_electronics",7.8,22.5,4.3,"no",3,1
8.7,"household_appliances",13.8,26.9,3.4,"no",4,4
12.7,"tools",14.5,17.2,4.9,"no",4,2
13.3,"tools",NA,20.7,4.3,"no",3,2
5.3,"household_appliances",18.1,23.7,3.6,"no",5,2
-15.2,"tools",24.1,25.3,3,"no",5,1
4.4,"personal_care",18.8,23.1,4.6,"no",7,2
6.5,"tools",15.4,19.5,3.8,"no",1,2
14.1,"household_appliances",14.1,23.8,4.7,"no",7,2
0.2,"tools",17.4,17.2,3.3,"no",5,1
-4.3,"tools",19,21.4,3.5,NA,6,1
11.5,"tools",11.1,19.7,4.2,NA,4,3
6.9,"household_appliances",16,19,2.8,"no",5,2
-5.7,"tools",18.3,11.8,2.6,"no",4,2
22.8,"household_appliances",NA,31.2,4.6,"yes",6,3
3.7,"household_appliances",12.9,14.7,4.4,"no",3,2
-5.4,"personal_care",22,19.2,3.5,NA,4,4
1.3,"household_appliances",21.3,14.6,4.4,"yes",6,3
-0.4,"tools",18.4,19.1,4.6,"no",7,2
1.3,"household_appliances",7.1,22.2,4.6,"no",2,2
-0.2,"household_appliances",7.3,20.1,4.5,"no",7,2
-0.4,"household_appliances",21.1,28.3,3.6,"no",4,2
12.6,"household_appliances",17.7,28.8,4,"no",2,2
-2.3,"tools",13.3,12.2,4.6,"no",7,4
4.7,"household_appliances",13.1,19.2,3.6,"no",4,3
8,"tools",21.1,27.7,2.8,"yes",5,4
8.5,"tools",9.8,22.6,4.5,"no",5,2
14.6,"household_appliances",NA,20.2,4.4,"yes",6,1
20.4,"household_appliances",12.2,21.1,4.4,"yes",6,1
4.6,"tools",12.7,20.1,3.8,"no",-999,3
-4.8,"household_appliances",17.8,13,3.8,"no",4,3
8.5,"tools",NA,21.4,4.7,"no",6,3
1.6,"tools",15.2,21.5,3.3,"no",7,2
7.2,"personal_care",11.7,22.3,3.9,"no",5,2
3.4,"household_appliances",16.3,21.4,4.7,"no",5,1
14,"personal_care",17.6,25.7,4.2,"no",4,3
12.8,"tools",15.9,15.3,4.6,"yes",5,3
11.1,"household_appliances",17.5,22.1,3.3,"no",3,2
6,"household_appliances",14.6,16.5,4.3,"no",5,3
11.7,"tools",15.5,16.9,2.9,"yes",5,2
12.5,"personal_care",11.1,22.2,4.4,"no",8,1
13,"tools",10.3,21.1,4.2,"yes",4,3
2.4,"household_appliances",12.2,15.5,4.4,NA,6,3
-12.4,"household_appliances",23.8,NA,4.3,"no",5,2
3.9,"tools",17,24.6,3.9,"no",5,3
9.9,"household_appliances",20.6,26.4,4.4,"no",4,4
1.2,"household_appliances",18.3,11.4,4.3,"no",8,2
3.2,"household_appliances",13.2,19.1,2.3,"no",5,4
6.7,"household_appliances",16.3,16.8,4.3,"no",3,1
-4.8,"household_appliances",16.9,12.2,3.4,"no",5,4
-1.5,"tools",11.5,11.3,4,"no",7,3
13.1,"small_electronics",20.2,20.8,4.8,"yes",3,3
-5.6,"household_appliances",4.3,21.2,4.5,"no",3,2
10.6,"tools",15.6,24,4.5,"no",5,2
7.9,"tools",NA,20.9,4.3,"no",5,2
0.6,"household_appliances",19.6,29,4.4,"no",6,2
5.5,"tools",12,21.8,4.7,NA,3,1
8.3,"household_appliances",16.9,25.2,4.5,"no",4,1
5.9,"household_appliances",14.2,22.1,4.3,"no",7,1
9.6,"small_electronics",NA,21.1,4.6,"no",7,3
-7.1,"personal_care",4.8,18.5,4.4,"no",6,3
-0.2,"household_appliances",20.8,18.4,4.4,"no",5,3
-1.8,"tools",20.9,18.8,4.9,"no",5,2
12.7,"household_appliances",NA,13,4.7,"yes",4,3
3.8,"tools",14,21.1,3.4,"no",5,1
7.2,"tools",14,18.2,4,"no",4,4
1.8,"household_appliances",13.2,10.6,3.8,"no",7,4
19.7,"personal_care",12.9,21.3,4.5,"yes",7,1
-1.6,"tools",19.2,20.7,4.3,"no",3,1
11.1,"tools",19.4,29.8,4,"no",4,3
18.8,"small_electronics",18.4,25.6,4.1,"yes",4,3
21.3,"tools",11.4,22,4.7,"yes",6,1
-10.5,"personal_care",24.3,21.8,4.8,"no",6,1
7.9,"tools",16.7,28.2,4.4,"no",3,2
0.6,"household_appliances",16.4,18.3,2.9,"no",5,2
3.7,"personal_care",11,16.2,4,"no",6,2
3.1,"tools",8.3,16,5,"no",6,2
12.7,"personal_care",9.9,21.1,3.8,"yes",8,3
10.3,"tools",14.2,28.3,4.2,"no",5,2
7,"household_appliances",14.8,23.5,2.6,"no",-999,1
7.4,"household_appliances",15.2,20,4.6,"no",7,2
13.3,"household_appliances",13.2,25.8,4.7,"no",5,2
12.5,"household_appliances",13.3,20.5,4.2,"no",5,2
12.5,"household_appliances",NA,20.2,4.5,"no",5,2
8.1,"personal_care",14.9,21.7,4,"no",1,2
12.2,"household_appliances",7.3,34.3,4.4,"no",6,2
9.9,"personal_care",11.9,19.8,3.2,"yes",7,1
16.2,"small_electronics",8.6,30,4.5,"no",4,2
9.5,"tools",19.6,27,3.6,"yes",4,2
0.9,"tools",22.2,25.8,4.4,"yes",5,1
3.5,"household_appliances",3.2,26,4.2,"yes",5,1
17.5,"tools",16.8,20.4,3.9,"yes",4,2
5.3,"household_appliances",11.6,20,3.2,"no",3,3
0.5,"tools",18.6,18.7,4.1,"no",4,3
2.3,"household_appliances",20.8,17.6,4.8,"yes",6,4
5.3,"tools",11.4,18.4,3.4,"no",4,1
5.2,"tools",14.6,20.2,3.4,"no",5,2
10.8,"tools",13.4,16.5,4.7,"no",5,3
9.2,"tools",10.6,23.2,4.1,"no",4,1
-8.3,"small_electronics",22.8,27.3,3.1,"no",7,4
-13.5,"household_appliances",23.4,18.6,4.7,"no",7,2
-3.5,"tools",14.8,5.8,4.4,NA,6,1
13.1,"household_appliances",9.8,11.5,4.1,"yes",4,2
11.1,"household_appliances",14.7,18.8,4.7,"no",4,2
7.3,"tools",12.5,15.5,4.5,"no",6,2
4.3,"tools",17.4,28.4,4.6,"no",7,3
12.9,"household_appliances",16.2,28.7,3.8,"no",5,1
13,"tools",10.5,20.1,3.7,"yes",4,2
18.7,"household_appliances",16.7,20.1,4.7,"yes",2,2
-8.8,"small_electronics",22.5,22.3,4.1,"no",4,2
-3.2,"household_appliances",11.4,16,4.5,"no",5,3
1.9,"personal_care",17.8,16.4,4,"no",3,2
17.6,"small_electronics",7.4,26.9,4.7,"yes",3,2
-5.1,"small_electronics",4.4,18.1,4.4,"no",4,1
10.1,"tools",18.1,21.1,4.1,"yes",6,3
-4.6,"tools",20.5,20.6,4,"no",6,2
10.7,"small_electronics",NA,19.2,4.4,"yes",5,4
3.3,"household_appliances",21.5,25,4.1,"no",5,3
12.5,"tools",17.5,29.3,4.1,"no",6,2
3.7,"small_electronics",16,23.5,4.1,"no",3,3
22.3,"tools",14.8,35.4,4.4,"no",6,4
-6.6,"tools",20.5,16.6,4.4,"no",5,2
3.7,"small_electronics",NA,12.7,4.1,NA,2,1
5.2,"personal_care",17,16.9,4.7,"no",6,3
-4.1,"small_electronics",20.2,17.3,4.5,"no",6,2
8.3,"household_appliances",8.9,29.3,3.4,"no",5,1
0.1,"tools",7.1,20.2,4.6,"no",5,2
14.2,"household_appliances",17.8,31,4.4,"no",7,1
7.8,"household_appliances",11.8,17.4,4.8,"no",4,1
7.3,"small_electronics",9.6,19.3,3.1,"yes",6,2
